Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,2e-05,,
Horizontal Delay,0,,
Sample Interval,2e-08,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0.06,0.02,0
,,,
,,,
,,,
Label,M2024,,M2030
TIME,CH1,CH2,CH4
-9.520000e-05,1.38,-0.02,-0.04
-9.518000e-05,1.42,-0.02,-0.04
-9.516000e-05,1.42,-0.02,-0.04
-9.514000e-05,1.42,-0.02,-0.04
-9.512000e-05,1.38,-0.02,-0.04
-9.510000e-05,1.42,-0.02,-0.04
-9.508000e-05,1.38,-0.02,-0.04
-9.506000e-05,1.42,-0.02,-0.08
-9.504000e-05,1.46,-0.02,-0.04
-9.502000e-05,1.46,-0.06,-0.04
-9.500000e-05,1.42,-0.02,-0.04
-9.498000e-05,1.42,-0.02,-0.04
-9.496000e-05,1.42,-0.02,-0.04
-9.494000e-05,1.42,-0.02,-0.04
-9.492000e-05,1.38,-0.02,-0.04
-9.490000e-05,1.42,-0.06,-0.04
-9.488000e-05,1.46,-0.02,-0.04
-9.486000e-05,1.38,-0.02,-0.04
-9.484000e-05,1.42,-0.02,-0.04
-9.482000e-05,1.42,-0.02,-0.04
-9.480000e-05,1.42,-0.02,-0.04
-9.478000e-05,1.42,0.02,-0.04
-9.476000e-05,1.46,-0.02,-0.04
-9.474000e-05,1.46,-0.02,-0.08
-9.472000e-05,1.42,-0.02,-0.04
-9.470000e-05,1.46,-0.02,-0.04
-9.468000e-05,1.42,-0.02,-0.04
-9.466000e-05,1.46,-0.02,-0.04
-9.464000e-05,1.46,-0.02,-0.04
-9.462000e-05,1.42,-0.02,-0.04
-9.460000e-05,1.42,-0.02,-0.04
-9.458000e-05,1.42,-0.02,-0.04
-9.456000e-05,1.38,-0.02,-0.04
-9.454000e-05,1.42,-0.02,-0.04
-9.452000e-05,1.42,-0.02,-0.08
-9.450000e-05,1.42,-0.02,-0.08
-9.448000e-05,1.42,-0.02,-0.04
-9.446000e-05,1.38,-0.02,-0.04
-9.444000e-05,1.42,-0.02,-0.04
-9.442000e-05,1.46,-0.02,0
-9.440000e-05,1.42,-0.02,-0.04
-9.438000e-05,1.42,-0.02,-0.04
-9.436000e-05,1.42,-0.02,-0.04
-9.434000e-05,1.46,-0.02,-0.04
-9.432000e-05,1.42,-0.02,-0.04
-9.430000e-05,1.46,-0.02,-0.04
-9.428000e-05,1.42,-0.02,-0.04
-9.426000e-05,1.46,-0.02,-0.04
-9.424000e-05,1.42,0.02,-0.04
-9.422000e-05,1.46,-0.02,-0.04
-9.420000e-05,1.42,-0.02,-0.04
-9.418000e-05,1.42,-0.02,-0.04
-9.416000e-05,1.42,-0.02,0
-9.414000e-05,1.42,-0.02,0
-9.412000e-05,1.42,-0.02,-0.04
-9.410000e-05,1.42,-0.02,-0.04
-9.408000e-05,1.42,-0.02,-0.04
-9.406000e-05,1.46,-0.06,-0.04
-9.404000e-05,1.42,-0.02,-0.04
-9.402000e-05,1.42,-0.02,-0.04
-9.400000e-05,1.42,-0.02,-0.08
-9.398000e-05,1.46,-0.02,-0.04
-9.396000e-05,1.42,-0.02,-0.04
-9.394000e-05,1.42,-0.02,-0.04
-9.392000e-05,1.42,-0.02,-0.04
-9.390000e-05,1.42,0.02,-0.04
-9.388000e-05,1.42,0.02,-0.04
-9.386000e-05,1.38,-0.02,-0.04
-9.384000e-05,1.42,-0.02,0
-9.382000e-05,1.42,-0.02,-0.04
-9.380000e-05,1.42,-0.02,-0.04
-9.378000e-05,1.46,-0.02,-0.04
-9.376000e-05,1.42,-0.02,-0.04
-9.374000e-05,1.42,-0.02,-0.04
-9.372000e-05,1.42,-0.02,-0.04
-9.370000e-05,1.46,0.02,-0.08
-9.368000e-05,1.42,-0.02,-0.04
-9.366000e-05,1.46,-0.02,-0.04
-9.364000e-05,1.42,-0.02,-0.04
-9.362000e-05,1.42,-0.02,-0.04
-9.360000e-05,1.46,-0.06,-0.04
-9.358000e-05,1.42,-0.02,-0.04
-9.356000e-05,1.42,-0.02,-0.04
-9.354000e-05,1.46,-0.02,-0.04
-9.352000e-05,1.38,-0.02,-0.04
-9.350000e-05,1.5,-0.02,-0.04
-9.348000e-05,1.46,-0.02,0
-9.346000e-05,1.38,-0.02,-0.04
-9.344000e-05,1.42,-0.02,-0.04
-9.342000e-05,1.42,-0.06,-0.04
-9.340000e-05,1.42,-0.02,-0.04
-9.338000e-05,1.42,-0.06,0
-9.336000e-05,1.42,0.02,-0.08
-9.334000e-05,1.42,-0.02,-0.04
-9.332000e-05,1.42,-0.02,-0.04
-9.330000e-05,1.42,-0.02,-0.04
-9.328000e-05,1.42,-0.02,-0.04
-9.326000e-05,1.46,-0.02,-0.04
-9.324000e-05,1.42,-0.02,-0.04
-9.322000e-05,1.42,-0.06,-0.04
-9.320000e-05,1.42,-0.02,-0.04
-9.318000e-05,1.46,-0.02,-0.04
-9.316000e-05,1.42,-0.02,-0.04
-9.314000e-05,1.38,-0.02,-0.04
-9.312000e-05,1.42,-0.02,-0.04
-9.310000e-05,1.46,-0.02,-0.04
-9.308000e-05,1.42,-0.02,0
-9.306000e-05,1.38,-0.02,-0.04
-9.304000e-05,1.46,-0.02,-0.04
-9.302000e-05,1.42,-0.02,-0.04
-9.300000e-05,1.42,-0.02,-0.04
-9.298000e-05,1.42,-0.02,-0.04
-9.296000e-05,1.42,-0.02,-0.04
-9.294000e-05,1.42,-0.06,0
-9.292000e-05,1.38,-0.02,-0.04
-9.290000e-05,1.42,-0.02,-0.04
-9.288000e-05,1.46,-0.02,-0.04
-9.286000e-05,1.46,-0.02,-0.04
-9.284000e-05,1.42,-0.02,-0.04
-9.282000e-05,1.46,-0.02,-0.04
-9.280000e-05,1.42,0.02,0
-9.278000e-05,1.42,-0.02,-0.04
-9.276000e-05,1.42,-0.02,-0.04
-9.274000e-05,1.42,-0.02,-0.04
-9.272000e-05,1.42,-0.02,-0.04
-9.270000e-05,1.42,-0.02,-0.04
-9.268000e-05,1.42,-0.02,-0.04
-9.266000e-05,1.42,-0.02,-0.04
-9.264000e-05,1.38,-0.02,-0.04
-9.262000e-05,1.46,-0.02,-0.04
-9.260000e-05,1.42,-0.02,-0.04
-9.258000e-05,1.42,-0.06,-0.04
-9.256000e-05,1.42,-0.02,-0.04
-9.254000e-05,1.42,-0.02,-0.04
-9.252000e-05,1.42,-0.02,-0.04
-9.250000e-05,1.42,-0.02,-0.04
-9.248000e-05,1.38,-0.02,-0.04
-9.246000e-05,1.46,0.02,0
-9.244000e-05,1.42,-0.02,-0.04
-9.242000e-05,1.42,-0.02,-0.04
-9.240000e-05,1.42,-0.02,-0.04
-9.238000e-05,1.46,-0.02,-0.04
-9.236000e-05,1.42,-0.02,-0.04
