Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2e-06,
Horizontal Delay,0,
Sample Interval,2e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Vertical Position,0,0
,,
,,
,,
Label,M2024,M2030
TIME,CH1,CH4
-9.358000e-06,1.4,-0.04
-9.356000e-06,1.4,-0.04
-9.354000e-06,1.4,-0.04
-9.352000e-06,1.44,0
-9.350000e-06,1.4,-0.04
-9.348000e-06,1.4,-0.04
-9.346000e-06,1.4,-0.04
-9.344000e-06,1.4,-0.04
-9.342000e-06,1.4,-0.04
-9.340000e-06,1.44,-0.04
-9.338000e-06,1.4,-0.04
-9.336000e-06,1.4,-0.04
-9.334000e-06,1.44,-0.04
-9.332000e-06,1.4,-0.04
-9.330000e-06,1.44,-0.04
-9.328000e-06,1.44,-0.04
-9.326000e-06,1.44,-0.04
-9.324000e-06,1.4,0
-9.322000e-06,1.36,0
-9.320000e-06,1.44,0
-9.318000e-06,1.4,-0.04
-9.316000e-06,1.4,-0.04
-9.314000e-06,1.44,-0.04
-9.312000e-06,1.44,-0.04
-9.310000e-06,1.4,-0.04
-9.308000e-06,1.4,-0.04
-9.306000e-06,1.4,-0.08
-9.304000e-06,1.44,-0.04
-9.302000e-06,1.44,-0.04
-9.300000e-06,1.44,-0.04
-9.298000e-06,1.4,-0.04
-9.296000e-06,1.44,0
-9.294000e-06,1.44,0
-9.292000e-06,1.44,-0.04
-9.290000e-06,1.44,-0.04
-9.288000e-06,1.36,-0.04
-9.286000e-06,1.44,-0.04
-9.284000e-06,1.44,0
-9.282000e-06,1.44,-0.04
-9.280000e-06,1.4,0
-9.278000e-06,1.4,-0.04
-9.276000e-06,1.44,0
-9.274000e-06,1.44,-0.04
-9.272000e-06,1.4,-0.04
-9.270000e-06,1.4,-0.04
-9.268000e-06,1.4,0
-9.266000e-06,1.44,-0.04
-9.264000e-06,1.4,-0.04
-9.262000e-06,1.44,-0.04
-9.260000e-06,1.4,-0.04
-9.258000e-06,1.44,-0.04
-9.256000e-06,1.44,0
-9.254000e-06,1.48,-0.04
-9.252000e-06,1.4,-0.04
-9.250000e-06,1.44,-0.04
-9.248000e-06,1.44,-0.04
-9.246000e-06,1.44,-0.08
