Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,8e-07,,
Horizontal Delay,0,,
Sample Interval,8e-10,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0,0,0
,,,
,,,
,,,
Label,,M2029,M2030
TIME,CH1,CH3,CH4
-3.672000e-06,1.39281,1.46156,-0.018125
-3.671200e-06,1.39437,1.46453,-0.0228125
-3.670400e-06,1.39297,1.46828,-0.0226562
-3.669600e-06,1.395,1.46703,-0.0225
-3.668800e-06,1.3925,1.46719,-0.016875
-3.668000e-06,1.39469,1.46375,-0.0215625
-3.667200e-06,1.395,1.46859,-0.0189062
-3.666400e-06,1.39219,1.46734,-0.019375
-3.665600e-06,1.39531,1.46625,-0.0189062
-3.664800e-06,1.39125,1.46813,-0.0201563
-3.664000e-06,1.39531,1.46828,-0.019375
-3.663200e-06,1.39484,1.46781,-0.019375
-3.662400e-06,1.39469,1.46328,-0.019375
-3.661600e-06,1.39578,1.46922,-0.0189062
-3.660800e-06,1.39484,1.465,-0.021875
-3.660000e-06,1.39203,1.46344,-0.023125
-3.659200e-06,1.39266,1.46578,-0.0201563
-3.658400e-06,1.39703,1.47063,-0.0165625
-3.657600e-06,1.39547,1.46719,-0.0184375
-3.656800e-06,1.39469,1.46516,-0.019375
-3.656000e-06,1.39469,1.4675,-0.0203125
-3.655200e-06,1.39312,1.46484,-0.0201563
-3.654400e-06,1.39547,1.46703,-0.0175
-3.653600e-06,1.39203,1.46797,-0.0204688
-3.652800e-06,1.39484,1.46531,-0.0210938
-3.652000e-06,1.39359,1.46141,-0.018125
-3.651200e-06,1.39266,1.46641,-0.018125
-3.650400e-06,1.39406,1.465,-0.0184375
-3.649600e-06,1.39484,1.46469,-0.0192187
-3.648800e-06,1.39375,1.46687,-0.02125
-3.648000e-06,1.39219,1.46766,-0.0171875
-3.647200e-06,1.39437,1.4675,-0.01875
-3.646400e-06,1.39375,1.46641,-0.0217188
-3.645600e-06,1.3975,1.46813,-0.0217188
-3.644800e-06,1.39359,1.4675,-0.0207813
-3.644000e-06,1.39531,1.46906,-0.0217188
-3.643200e-06,1.3975,1.46703,-0.0207813
-3.642400e-06,1.39344,1.46641,-0.0210938
-3.641600e-06,1.395,1.46828,-0.0182812
-3.640800e-06,1.39078,1.46453,-0.0189062
-3.640000e-06,1.39531,1.46531,-0.0170313
-3.639200e-06,1.39312,1.46766,-0.0234375
-3.638400e-06,1.39437,1.46437,-0.0185937
-3.637600e-06,1.39125,1.46672,-0.020625
-3.636800e-06,1.39187,1.46453,-0.0220312
-3.636000e-06,1.39516,1.46687,-0.0179688
-3.635200e-06,1.39578,1.46344,-0.0207813
-3.634400e-06,1.39234,1.46266,-0.0214063
-3.633600e-06,1.39344,1.46219,-0.0209375
-3.632800e-06,1.39641,1.47016,-0.0164063
-3.632000e-06,1.395,1.46344,-0.0217188
-3.631200e-06,1.39656,1.46594,-0.0214063
-3.630400e-06,1.39391,1.46437,-0.020625
-3.629600e-06,1.39484,1.46672,-0.0201563
-3.628800e-06,1.39312,1.46641,-0.0179688
-3.628000e-06,1.39422,1.46469,-0.0210938
-3.627200e-06,1.3925,1.46734,-0.018125
-3.626400e-06,1.39609,1.46406,-0.020625
-3.625600e-06,1.39375,1.46625,-0.021875
-3.624800e-06,1.39594,1.46547,-0.0190625
-3.624000e-06,1.39297,1.46547,-0.0229687
-3.623200e-06,1.39125,1.46328,-0.0201563
-3.622400e-06,1.39547,1.46547,-0.0178125
-3.621600e-06,1.39219,1.46766,-0.0198438
-3.620800e-06,1.39203,1.46594,-0.0225
-3.620000e-06,1.39688,1.46906,-0.0225
-3.619200e-06,1.39187,1.46516,-0.0201563
-3.618400e-06,1.39547,1.46641,-0.0203125
-3.617600e-06,1.39328,1.46906,-0.0179688
-3.616800e-06,1.39469,1.465,-0.0204688
-3.616000e-06,1.39531,1.46687,-0.0184375
-3.615200e-06,1.39437,1.46516,-0.0165625
-3.614400e-06,1.39328,1.47094,-0.018125
-3.613600e-06,1.39047,1.46484,-0.0221875
-3.612800e-06,1.39906,1.46484,-0.0184375
-3.612000e-06,1.39359,1.46516,-0.019375
-3.611200e-06,1.39656,1.46516,-0.0203125
-3.610400e-06,1.39187,1.46641,-0.0189062
-3.609600e-06,1.39328,1.46734,-0.02
-3.608800e-06,1.39203,1.46422,-0.0198438
