Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-06,
Horizontal Delay,0,
Sample Interval,4e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Vertical Position,0.06,0
,,
,,
,,
Label,M2024,M2030
TIME,CH1,CH4
-1.779200e-05,1.38,-0.04
-1.778800e-05,1.42,-0.04
-1.778400e-05,1.42,0
-1.778000e-05,1.42,0
-1.777600e-05,1.42,-0.04
-1.777200e-05,1.42,-0.04
-1.776800e-05,1.46,-0.04
-1.776400e-05,1.42,-0.04
-1.776000e-05,1.42,0
-1.775600e-05,1.46,-0.04
-1.775200e-05,1.38,-0.04
-1.774800e-05,1.42,0
-1.774400e-05,1.46,0
-1.774000e-05,1.42,0
-1.773600e-05,1.38,0
-1.773200e-05,1.38,-0.04
-1.772800e-05,1.38,-0.04
-1.772400e-05,1.38,0
-1.772000e-05,1.38,-0.04
-1.771600e-05,1.42,0
-1.771200e-05,1.46,-0.04
-1.770800e-05,1.42,-0.04
-1.770400e-05,1.34,0
-1.770000e-05,1.38,0
-1.769600e-05,1.42,-0.04
-1.769200e-05,1.42,-0.04
-1.768800e-05,1.42,-0.04
-1.768400e-05,1.38,0
-1.768000e-05,1.42,0
-1.767600e-05,1.42,-0.04
-1.767200e-05,1.42,0
-1.766800e-05,1.42,-0.04
-1.766400e-05,1.42,0
-1.766000e-05,1.42,-0.04
-1.765600e-05,1.42,-0.04
-1.765200e-05,1.46,0
-1.764800e-05,1.42,0
-1.764400e-05,1.42,-0.04
-1.764000e-05,1.42,-0.04
-1.763600e-05,1.46,-0.04
-1.763200e-05,1.42,0
-1.762800e-05,1.38,-0.04
-1.762400e-05,1.46,0
-1.762000e-05,1.42,-0.04
-1.761600e-05,1.38,-0.04
-1.761200e-05,1.42,-0.04
-1.760800e-05,1.42,0
-1.760400e-05,1.42,-0.04
-1.760000e-05,1.38,-0.04
-1.759600e-05,1.42,-0.04
-1.759200e-05,1.42,-0.04
-1.758800e-05,1.42,-0.04
-1.758400e-05,1.38,-0.04
-1.758000e-05,1.42,0
-1.757600e-05,1.42,0
-1.757200e-05,1.42,-0.04
-1.756800e-05,1.42,-0.04
-1.756400e-05,1.38,-0.04
-1.756000e-05,1.42,0
-1.755600e-05,1.38,-0.04
-1.755200e-05,1.42,-0.04
-1.754800e-05,1.42,-0.04
-1.754400e-05,1.38,0
-1.754000e-05,1.42,-0.04
-1.753600e-05,1.38,-0.04
-1.753200e-05,1.42,-0.04
-1.752800e-05,1.42,-0.04
-1.752400e-05,1.42,0
-1.752000e-05,1.38,0
-1.751600e-05,1.38,-0.04
-1.751200e-05,1.38,-0.04
-1.750800e-05,1.38,-0.04
-1.750400e-05,1.42,-0.04
-1.750000e-05,1.42,0
-1.749600e-05,1.46,-0.04
-1.749200e-05,1.38,-0.04
-1.748800e-05,1.38,-0.04
-1.748400e-05,1.38,0
-1.748000e-05,1.34,-0.04
-1.747600e-05,1.38,-0.04
-1.747200e-05,1.38,-0.04
-1.746800e-05,1.46,-0.04
-1.746400e-05,1.42,0.04
-1.746000e-05,1.38,-0.04
-1.745600e-05,1.42,-0.04
-1.745200e-05,1.42,-0.04
-1.744800e-05,1.42,-0.04
-1.744400e-05,1.42,-0.04
-1.744000e-05,1.42,0
-1.743600e-05,1.42,-0.04
-1.743200e-05,1.42,0
-1.742800e-05,1.42,-0.04
-1.742400e-05,1.46,-0.04
-1.742000e-05,1.42,-0.04
-1.741600e-05,1.46,-0.04
-1.741200e-05,1.42,0
-1.740800e-05,1.42,0
-1.740400e-05,1.42,-0.04
-1.740000e-05,1.38,-0.08
-1.739600e-05,1.42,0
-1.739200e-05,1.42,-0.04
-1.738800e-05,1.38,0
-1.738400e-05,1.42,0
-1.738000e-05,1.42,-0.04
