Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,8e-07,,
Horizontal Delay,0,,
Sample Interval,8e-10,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0,-0.02,0
,,,
,,,
,,,
Label,M2024,M2029,M2030
TIME,CH1,CH3,CH4
-3.712000e-06,1.36953,1.43578,-0.0598438
-3.711200e-06,1.36625,1.43312,-0.059375
-3.710400e-06,1.36078,1.43312,-0.0592188
-3.709600e-06,1.36156,1.43422,-0.06
-3.708800e-06,1.37234,1.43656,-0.0589063
-3.708000e-06,1.36578,1.43297,-0.0576562
-3.707200e-06,1.36531,1.43391,-0.0578125
-3.706400e-06,1.36344,1.43266,-0.059375
-3.705600e-06,1.36719,1.43297,-0.059375
-3.704800e-06,1.36891,1.43797,-0.0576562
-3.704000e-06,1.3675,1.43594,-0.059375
-3.703200e-06,1.36797,1.43453,-0.0575
-3.702400e-06,1.36734,1.43281,-0.05625
-3.701600e-06,1.36719,1.4375,-0.0592188
-3.700800e-06,1.36703,1.43203,-0.058125
-3.700000e-06,1.36594,1.43328,-0.059375
-3.699200e-06,1.36344,1.43531,-0.0589063
-3.698400e-06,1.36844,1.43516,-0.05875
-3.697600e-06,1.37078,1.43578,-0.0554688
-3.696800e-06,1.36187,1.43172,-0.0579687
-3.696000e-06,1.36609,1.43422,-0.0592188
-3.695200e-06,1.36344,1.43625,-0.0592188
-3.694400e-06,1.36484,1.43578,-0.0575
-3.693600e-06,1.36766,1.43594,-0.0595313
-3.692800e-06,1.36578,1.43219,-0.058125
-3.692000e-06,1.365,1.43875,-0.056875
-3.691200e-06,1.36375,1.43625,-0.05875
-3.690400e-06,1.36906,1.43766,-0.058125
-3.689600e-06,1.36391,1.43891,-0.06
-3.688800e-06,1.36453,1.43219,-0.0570312
-3.688000e-06,1.36469,1.43359,-0.0596875
-3.687200e-06,1.3625,1.43203,-0.0582812
-3.686400e-06,1.37062,1.43703,-0.0595313
-3.685600e-06,1.36625,1.43063,-0.0590625
-3.684800e-06,1.36062,1.43484,-0.0590625
-3.684000e-06,1.36406,1.43625,-0.0598438
-3.683200e-06,1.37266,1.43719,-0.05875
-3.682400e-06,1.36641,1.43312,-0.0571875
-3.681600e-06,1.36219,1.43391,-0.0579687
-3.680800e-06,1.36422,1.43219,-0.0584375
-3.680000e-06,1.365,1.4325,-0.059375
-3.679200e-06,1.36984,1.43703,-0.0573437
-3.678400e-06,1.36781,1.435,-0.0592188
-3.677600e-06,1.36781,1.43609,-0.0579687
-3.676800e-06,1.36641,1.43703,-0.0575
-3.676000e-06,1.36922,1.43641,-0.0592188
-3.675200e-06,1.36813,1.43281,-0.0584375
-3.674400e-06,1.365,1.43281,-0.0576562
-3.673600e-06,1.36328,1.43453,-0.0592188
-3.672800e-06,1.36891,1.43641,-0.059375
-3.672000e-06,1.37,1.43719,-0.0557813
-3.671200e-06,1.35984,1.42984,-0.0584375
-3.670400e-06,1.36656,1.43422,-0.0590625
-3.669600e-06,1.36563,1.43641,-0.0584375
-3.668800e-06,1.36578,1.43484,-0.0576562
-3.668000e-06,1.37156,1.43656,-0.0592188
-3.667200e-06,1.36422,1.43188,-0.058125
-3.666400e-06,1.365,1.43828,-0.0571875
-3.665600e-06,1.365,1.43453,-0.0590625
-3.664800e-06,1.37078,1.43719,-0.0584375
-3.664000e-06,1.36625,1.43453,-0.0598438
-3.663200e-06,1.36609,1.43375,-0.0575
-3.662400e-06,1.365,1.43547,-0.06
-3.661600e-06,1.36266,1.43172,-0.0584375
-3.660800e-06,1.37078,1.43578,-0.0595313
-3.660000e-06,1.36578,1.43078,-0.0595313
-3.659200e-06,1.35984,1.43625,-0.05875
-3.658400e-06,1.36453,1.43453,-0.06
-3.657600e-06,1.37344,1.43688,-0.05875
-3.656800e-06,1.36781,1.43125,-0.0571875
-3.656000e-06,1.36594,1.43328,-0.0578125
-3.655200e-06,1.36547,1.43563,-0.0585938
-3.654400e-06,1.36531,1.43297,-0.0592188
-3.653600e-06,1.36922,1.43484,-0.0575
-3.652800e-06,1.36844,1.43641,-0.0590625
-3.652000e-06,1.36641,1.43625,-0.0579687
-3.651200e-06,1.36625,1.43375,-0.0557813
-3.650400e-06,1.36734,1.43547,-0.0595313
-3.649600e-06,1.36766,1.43469,-0.0579687
-3.648800e-06,1.36469,1.43281,-0.05875
-3.648000e-06,1.36234,1.43594,-0.059375
-3.647200e-06,1.36781,1.43437,-0.0589063
-3.646400e-06,1.37031,1.43578,-0.05625
-3.645600e-06,1.36141,1.43109,-0.0584375
-3.644800e-06,1.36813,1.43391,-0.0590625
-3.644000e-06,1.36516,1.43719,-0.0579687
-3.643200e-06,1.36625,1.43688,-0.0575
-3.642400e-06,1.36969,1.43672,-0.0582812
-3.641600e-06,1.36563,1.43172,-0.0576562
-3.640800e-06,1.3675,1.43891,-0.055625
-3.640000e-06,1.36578,1.43453,-0.0589063
-3.639200e-06,1.37062,1.43594,-0.0585938
-3.638400e-06,1.36719,1.43484,-0.059375
-3.637600e-06,1.36766,1.43328,-0.0585938
-3.636800e-06,1.36453,1.43359,-0.0595313
-3.636000e-06,1.36281,1.43234,-0.0579687
-3.635200e-06,1.37141,1.43625,-0.06
-3.634400e-06,1.36641,1.43281,-0.0579687
-3.633600e-06,1.35984,1.43375,-0.0582812
-3.632800e-06,1.36234,1.43344,-0.0579687
-3.632000e-06,1.37312,1.43672,-0.0596875
-3.631200e-06,1.365,1.43141,-0.0573437
-3.630400e-06,1.36484,1.43375,-0.0573437
-3.629600e-06,1.36312,1.43641,-0.059375
-3.628800e-06,1.36719,1.43516,-0.0592188
-3.628000e-06,1.37016,1.43609,-0.0578125
-3.627200e-06,1.36734,1.43656,-0.0592188
-3.626400e-06,1.36781,1.43594,-0.0585938
-3.625600e-06,1.36469,1.43547,-0.055
-3.624800e-06,1.36813,1.43719,-0.0590625
-3.624000e-06,1.36594,1.4325,-0.0584375
-3.623200e-06,1.36547,1.43297,-0.0598438
-3.622400e-06,1.36406,1.43609,-0.0589063
-3.621600e-06,1.36906,1.43422,-0.0596875
-3.620800e-06,1.36938,1.43672,-0.0576562
-3.620000e-06,1.36187,1.43344,-0.0584375
-3.619200e-06,1.36969,1.43391,-0.0592188
-3.618400e-06,1.36703,1.43656,-0.059375
-3.617600e-06,1.36813,1.43859,-0.0579687
-3.616800e-06,1.36891,1.43734,-0.059375
-3.616000e-06,1.36688,1.43266,-0.0579687
-3.615200e-06,1.36859,1.43891,-0.0570312
-3.614400e-06,1.36609,1.43609,-0.05875
-3.613600e-06,1.37016,1.43719,-0.059375
-3.612800e-06,1.36781,1.43453,-0.0596875
-3.612000e-06,1.36688,1.43375,-0.0575
-3.611200e-06,1.36563,1.43516,-0.0598438
-3.610400e-06,1.36234,1.43078,-0.0585938
-3.609600e-06,1.37109,1.43484,-0.0596875
-3.608800e-06,1.36688,1.43172,-0.059375
-3.608000e-06,1.36172,1.435,-0.05875
-3.607200e-06,1.36594,1.43453,-0.0585938
-3.606400e-06,1.37344,1.43766,-0.05875
-3.605600e-06,1.36641,1.4325,-0.0571875
-3.604800e-06,1.36625,1.43328,-0.0576562
-3.604000e-06,1.36516,1.43469,-0.059375
-3.603200e-06,1.36688,1.43391,-0.0598438
-3.602400e-06,1.37016,1.43703,-0.0579687
-3.601600e-06,1.36672,1.43594,-0.059375
-3.600800e-06,1.36703,1.43453,-0.0584375
-3.600000e-06,1.36625,1.43453,-0.0576562
-3.599200e-06,1.36922,1.43641,-0.0589063
-3.598400e-06,1.36672,1.43219,-0.0585938
-3.597600e-06,1.36484,1.43328,-0.0585938
-3.596800e-06,1.36406,1.43578,-0.05875
-3.596000e-06,1.36969,1.43453,-0.0595313
-3.595200e-06,1.37094,1.43641,-0.0565625
-3.594400e-06,1.36062,1.43219,-0.05875
