Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1,
Horizontal Delay,0,
Sample Interval,0.001,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,1
Vertical Position,0,0
,,
,,
,,
Label,M2024,
TIME,CH1,CH2
-4.375000e+00,0.66,3.48
-4.374000e+00,0.76,3.44
-4.373000e+00,0.76,3.4
-4.372000e+00,0.74,3.48
-4.371000e+00,0.76,3.4
-4.370000e+00,0.78,3.4
-4.369000e+00,0.8,3.44
-4.368000e+00,0.74,3.4
-4.367000e+00,0.72,3.44
-4.366000e+00,0.84,3.4
-4.365000e+00,0.88,3.44
-4.364000e+00,0.96,3.44
-4.363000e+00,0.88,3.4
-4.362000e+00,0.76,3.44
-4.361000e+00,0.74,3.44
-4.360000e+00,0.58,3.4
-4.359000e+00,0.56,3.4
-4.358000e+00,0.62,3.4
-4.357000e+00,0.44,3.4
-4.356000e+00,0.78,3.4
-4.355000e+00,0.78,3.4
-4.354000e+00,0.72,3.44
-4.353000e+00,0.66,3.44
-4.352000e+00,0.64,3.4
-4.351000e+00,0.84,3.4
-4.350000e+00,0.8,3.4
-4.349000e+00,1.14,3.44
-4.348000e+00,0.78,3.4
-4.347000e+00,0.9,3.4
-4.346000e+00,0.78,3.4
-4.345000e+00,0.76,3.44
-4.344000e+00,0.66,3.44
-4.343000e+00,0.54,3.4
-4.342000e+00,0.6,3.4
-4.341000e+00,0.58,3.44
-4.340000e+00,1.08,3.4
-4.339000e+00,0.68,3.4
-4.338000e+00,0.72,3.44
-4.337000e+00,0.7,3.44
-4.336000e+00,0.74,3.44
-4.335000e+00,0.78,3.4
-4.334000e+00,0.68,3.4
-4.333000e+00,0.88,3.4
-4.332000e+00,1.3,3.4
-4.331000e+00,0.88,3.44
-4.330000e+00,0.72,3.4
-4.329000e+00,0.7,3.44
-4.328000e+00,0.68,3.4
-4.327000e+00,0.18,3.44
-4.326000e+00,0.38,3.44
-4.325000e+00,0.58,3.4
-4.324000e+00,0.66,3.4
-4.323000e+00,0.7,3.4
-4.322000e+00,0.68,3.4
-4.321000e+00,0.7,3.4
-4.320000e+00,0.68,3.4
-4.319000e+00,0.68,3.4
-4.318000e+00,0.64,3.4
-4.317000e+00,0.74,3.4
-4.316000e+00,0.88,3.4
-4.315000e+00,0.94,3.44
-4.314000e+00,0.88,3.44
-4.313000e+00,0.78,3.4
-4.312000e+00,0.68,3.44
-4.311000e+00,0.64,3.4
-4.310000e+00,0.44,3.44
-4.309000e+00,0.5,3.4
-4.308000e+00,0.54,3.4
-4.307000e+00,0.42,3.4
-4.306000e+00,0.64,3.4
-4.305000e+00,0.7,3.44
-4.304000e+00,0.68,3.4
-4.303000e+00,0.62,3.44
-4.302000e+00,0.74,3.36
-4.301000e+00,0.8,3.44
-4.300000e+00,0.74,3.4
-4.299000e+00,0.64,3.4
-4.298000e+00,0.64,3.4
-4.297000e+00,0.84,3.4
-4.296000e+00,0.7,3.4
-4.295000e+00,0.66,3.44
-4.294000e+00,0.62,3.4
-4.293000e+00,0.48,3.4
-4.292000e+00,0.52,3.4
-4.291000e+00,0.48,3.4
-4.290000e+00,0.46,3.44
-4.289000e+00,0.64,3.4
-4.288000e+00,0.64,3.44
-4.287000e+00,0.64,3.4
-4.286000e+00,0.68,3.44
-4.285000e+00,0.58,3.4
