Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.4
Horizontal Delay,0
Sample Interval,0.0004
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Vertical Position,0
,
,
,
Label,M2024
TIME,CH1
-1.766000e+00,-0.04
-1.765600e+00,-0.04
-1.765200e+00,-0.04
-1.764800e+00,0
-1.764400e+00,-0.04
-1.764000e+00,-0.04
-1.763600e+00,0.08
-1.763200e+00,-0.04
-1.762800e+00,-0.04
-1.762400e+00,-0.08
-1.762000e+00,-0.04
-1.761600e+00,-0.04
-1.761200e+00,0
-1.760800e+00,0
-1.760400e+00,-0.04
-1.760000e+00,-0.04
-1.759600e+00,-0.04
-1.759200e+00,-0.08
-1.758800e+00,-0.04
-1.758400e+00,-0.04
-1.758000e+00,-0.04
-1.757600e+00,-0.04
-1.757200e+00,-0.04
-1.756800e+00,-0.04
-1.756400e+00,-0.04
-1.756000e+00,-0.04
-1.755600e+00,0.08
-1.755200e+00,0.28
-1.754800e+00,0.24
-1.754400e+00,0.08
-1.754000e+00,0.04
-1.753600e+00,0
-1.753200e+00,0
-1.752800e+00,0
-1.752400e+00,-0.04
-1.752000e+00,-0.04
-1.751600e+00,-0.04
-1.751200e+00,-0.04
-1.750800e+00,-0.04
-1.750400e+00,0
-1.750000e+00,-0.04
-1.749600e+00,-0.04
-1.749200e+00,0
-1.748800e+00,-0.04
-1.748400e+00,-0.04
-1.748000e+00,-0.04
-1.747600e+00,-0.04
-1.747200e+00,-0.04
-1.746800e+00,0
-1.746400e+00,-0.04
-1.746000e+00,0
-1.745600e+00,-0.04
-1.745200e+00,-0.04
-1.744800e+00,-0.04
-1.744400e+00,0
-1.744000e+00,-0.04
-1.743600e+00,-0.04
-1.743200e+00,0
-1.742800e+00,-0.04
-1.742400e+00,-0.04
-1.742000e+00,-0.04
-1.741600e+00,0
-1.741200e+00,0
-1.740800e+00,0
-1.740400e+00,0
-1.740000e+00,-0.04
-1.739600e+00,0
-1.739200e+00,-0.04
-1.738800e+00,0
-1.738400e+00,0.12
-1.738000e+00,-0.04
-1.737600e+00,0
-1.737200e+00,-0.04
-1.736800e+00,-0.04
-1.736400e+00,-0.04
-1.736000e+00,-0.04
-1.735600e+00,-0.04
-1.735200e+00,0
-1.734800e+00,-0.04
-1.734400e+00,-0.04
-1.734000e+00,-0.04
-1.733600e+00,-0.04
-1.733200e+00,0
-1.732800e+00,-0.04
-1.732400e+00,0
-1.732000e+00,-0.04
-1.731600e+00,0
-1.731200e+00,-0.08
-1.730800e+00,-0.04
-1.730400e+00,0
-1.730000e+00,-0.04
-1.729600e+00,-0.04
-1.729200e+00,-0.04
-1.728800e+00,-0.04
-1.728400e+00,0
-1.728000e+00,-0.04
-1.727600e+00,-0.04
-1.727200e+00,-0.04
-1.726800e+00,-0.04
-1.726400e+00,-0.04
-1.726000e+00,-0.08
-1.725600e+00,-0.04
-1.725200e+00,-0.04
-1.724800e+00,-0.04
-1.724400e+00,-0.04
-1.724000e+00,0
-1.723600e+00,0
-1.723200e+00,0
-1.722800e+00,0
-1.722400e+00,-0.04
-1.722000e+00,-0.04
-1.721600e+00,-0.04
-1.721200e+00,-0.04
-1.720800e+00,-0.04
-1.720400e+00,-0.04
-1.720000e+00,0
-1.719600e+00,-0.04
-1.719200e+00,-0.04
-1.718800e+00,0
-1.718400e+00,-0.04
-1.718000e+00,-0.04
-1.717600e+00,-0.04
-1.717200e+00,-0.04
-1.716800e+00,-0.04
-1.716400e+00,-0.04
-1.716000e+00,-0.04
-1.715600e+00,0
-1.715200e+00,-0.04
-1.714800e+00,-0.04
-1.714400e+00,0
-1.714000e+00,-0.04
-1.713600e+00,0
-1.713200e+00,-0.04
-1.712800e+00,-0.04
-1.712400e+00,-0.04
-1.712000e+00,-0.04
-1.711600e+00,-0.04
-1.711200e+00,-0.04
-1.710800e+00,-0.04
-1.710400e+00,0
-1.710000e+00,-0.08
-1.709600e+00,-0.04
-1.709200e+00,-0.04
-1.708800e+00,-0.04
-1.708400e+00,-0.04
-1.708000e+00,-0.04
-1.707600e+00,-0.04
-1.707200e+00,-0.04
-1.706800e+00,-0.04
-1.706400e+00,0
-1.706000e+00,-0.04
-1.705600e+00,-0.04
-1.705200e+00,-0.04
-1.704800e+00,-0.04
-1.704400e+00,0
-1.704000e+00,-0.04
-1.703600e+00,-0.04
-1.703200e+00,-0.04
-1.702800e+00,-0.04
-1.702400e+00,0
-1.702000e+00,-0.04
-1.701600e+00,-0.04
-1.701200e+00,-0.04
-1.700800e+00,0
-1.700400e+00,-0.04
-1.700000e+00,0
-1.699600e+00,0
-1.699200e+00,-0.04
-1.698800e+00,-0.04
-1.698400e+00,-0.04
-1.698000e+00,-0.04
-1.697600e+00,-0.04
-1.697200e+00,-0.04
-1.696800e+00,-0.04
-1.696400e+00,-0.04
-1.696000e+00,-0.04
-1.695600e+00,-0.04
-1.695200e+00,-0.04
-1.694800e+00,0
-1.694400e+00,-0.04
-1.694000e+00,-0.04
-1.693600e+00,0
-1.693200e+00,-0.04
-1.692800e+00,-0.04
-1.692400e+00,-0.04
-1.692000e+00,-0.04
-1.691600e+00,-0.04
-1.691200e+00,-0.04
-1.690800e+00,-0.04
-1.690400e+00,-0.04
-1.690000e+00,-0.04
-1.689600e+00,0
-1.689200e+00,0
-1.688800e+00,-0.04
-1.688400e+00,-0.04
-1.688000e+00,-0.04
-1.687600e+00,-0.04
-1.687200e+00,-0.04
-1.686800e+00,-0.04
-1.686400e+00,-0.04
-1.686000e+00,-0.04
-1.685600e+00,-0.04
-1.685200e+00,-0.08
-1.684800e+00,-0.04
-1.684400e+00,-0.04
-1.684000e+00,-0.04
-1.683600e+00,-0.04
-1.683200e+00,-0.04
-1.682800e+00,-0.04
-1.682400e+00,-0.08
-1.682000e+00,-0.04
-1.681600e+00,-0.08
-1.681200e+00,0
-1.680800e+00,-0.04
-1.680400e+00,-0.04
-1.680000e+00,-0.04
-1.679600e+00,0
-1.679200e+00,-0.04
-1.678800e+00,-0.04
-1.678400e+00,-0.08
-1.678000e+00,-0.04
-1.677600e+00,-0.04
-1.677200e+00,-0.04
-1.676800e+00,-0.04
-1.676400e+00,-0.04
-1.676000e+00,-0.04
-1.675600e+00,-0.04
-1.675200e+00,0
-1.674800e+00,-0.04
-1.674400e+00,-0.04
-1.674000e+00,-0.04
-1.673600e+00,-0.04
-1.673200e+00,-0.04
-1.672800e+00,-0.04
-1.672400e+00,-0.04
-1.672000e+00,-0.04
-1.671600e+00,0
-1.671200e+00,-0.04
-1.670800e+00,-0.04
-1.670400e+00,0
-1.670000e+00,-0.04
-1.669600e+00,-0.04
-1.669200e+00,-0.04
-1.668800e+00,-0.04
-1.668400e+00,-0.04
-1.668000e+00,-0.04
-1.667600e+00,-0.04
-1.667200e+00,-0.04
-1.666800e+00,0
-1.666400e+00,-0.04
-1.666000e+00,-0.04
-1.665600e+00,0
-1.665200e+00,-0.04
-1.664800e+00,-0.04
-1.664400e+00,0
-1.664000e+00,0
-1.663600e+00,-0.04
-1.663200e+00,0
-1.662800e+00,-0.04
-1.662400e+00,-0.04
-1.662000e+00,-0.04
-1.661600e+00,0
-1.661200e+00,-0.04
-1.660800e+00,-0.04
-1.660400e+00,-0.04
-1.660000e+00,-0.08
-1.659600e+00,-0.04
-1.659200e+00,-0.04
-1.658800e+00,-0.04
-1.658400e+00,-0.04
-1.658000e+00,0
-1.657600e+00,-0.04
-1.657200e+00,-0.04
-1.656800e+00,-0.04
-1.656400e+00,-0.04
-1.656000e+00,-0.04
-1.655600e+00,-0.04
-1.655200e+00,-0.04
-1.654800e+00,-0.04
-1.654400e+00,-0.04
-1.654000e+00,-0.04
-1.653600e+00,0
-1.653200e+00,-0.04
-1.652800e+00,-0.04
-1.652400e+00,-0.04
-1.652000e+00,-0.04
-1.651600e+00,-0.04
-1.651200e+00,-0.04
-1.650800e+00,0
-1.650400e+00,-0.04
-1.650000e+00,-0.04
-1.649600e+00,-0.04
-1.649200e+00,-0.08
-1.648800e+00,-0.04
-1.648400e+00,-0.04
-1.648000e+00,-0.04
-1.647600e+00,0
-1.647200e+00,-0.04
-1.646800e+00,-0.04
-1.646400e+00,-0.04
-1.646000e+00,-0.04
-1.645600e+00,-0.04
-1.645200e+00,-0.04
-1.644800e+00,-0.04
-1.644400e+00,0
-1.644000e+00,-0.04
-1.643600e+00,-0.04
-1.643200e+00,-0.04
-1.642800e+00,-0.04
-1.642400e+00,-0.04
-1.642000e+00,-0.12
-1.641600e+00,-0.04
-1.641200e+00,-0.04
-1.640800e+00,0
-1.640400e+00,-0.04
-1.640000e+00,-0.04
-1.639600e+00,-0.04
-1.639200e+00,-0.04
-1.638800e+00,-0.04
-1.638400e+00,-0.04
-1.638000e+00,-0.04
-1.637600e+00,-0.04
-1.637200e+00,-0.04
-1.636800e+00,0
-1.636400e+00,-0.04
-1.636000e+00,-0.04
-1.635600e+00,-0.04
-1.635200e+00,-0.04
-1.634800e+00,-0.04
-1.634400e+00,-0.04
-1.634000e+00,-0.04
-1.633600e+00,-0.04
-1.633200e+00,0
-1.632800e+00,0
-1.632400e+00,-0.04
-1.632000e+00,-0.04
-1.631600e+00,-0.04
-1.631200e+00,-0.04
-1.630800e+00,0
-1.630400e+00,-0.04
-1.630000e+00,-0.04
-1.629600e+00,0
-1.629200e+00,-0.04
-1.628800e+00,-0.04
-1.628400e+00,-0.04
-1.628000e+00,-0.04
-1.627600e+00,-0.04
-1.627200e+00,-0.04
-1.626800e+00,-0.04
-1.626400e+00,-0.04
-1.626000e+00,-0.08
-1.625600e+00,-0.04
-1.625200e+00,-0.04
-1.624800e+00,-0.04
-1.624400e+00,-0.04
-1.624000e+00,0
-1.623600e+00,-0.04
-1.623200e+00,-0.04
-1.622800e+00,-0.04
-1.622400e+00,-0.04
-1.622000e+00,-0.04
-1.621600e+00,-0.04
-1.621200e+00,-0.04
-1.620800e+00,0
-1.620400e+00,-0.04
-1.620000e+00,-0.04
-1.619600e+00,-0.04
-1.619200e+00,-0.04
-1.618800e+00,-0.04
-1.618400e+00,-0.04
-1.618000e+00,-0.04
-1.617600e+00,-0.04
-1.617200e+00,-0.04
-1.616800e+00,0
-1.616400e+00,-0.04
-1.616000e+00,-0.04
-1.615600e+00,-0.08
-1.615200e+00,-0.04
-1.614800e+00,-0.04
-1.614400e+00,-0.04
-1.614000e+00,0
-1.613600e+00,0
-1.613200e+00,-0.04
-1.612800e+00,0
-1.612400e+00,-0.04
-1.612000e+00,-0.04
-1.611600e+00,-0.04
-1.611200e+00,-0.04
-1.610800e+00,-0.04
-1.610400e+00,0
-1.610000e+00,-0.04
-1.609600e+00,0
-1.609200e+00,0
-1.608800e+00,-0.04
-1.608400e+00,-0.04
-1.608000e+00,-0.04
-1.607600e+00,-0.04
-1.607200e+00,-0.04
-1.606800e+00,0
-1.606400e+00,-0.04
-1.606000e+00,-0.04
-1.605600e+00,-0.04
-1.605200e+00,-0.04
-1.604800e+00,-0.04
-1.604400e+00,-0.04
-1.604000e+00,-0.04
-1.603600e+00,-0.04
-1.603200e+00,-0.04
-1.602800e+00,-0.04
-1.602400e+00,-0.04
-1.602000e+00,-0.04
-1.601600e+00,-0.04
-1.601200e+00,-0.04
-1.600800e+00,-0.04
-1.600400e+00,0
-1.600000e+00,-0.04
