Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.002,,,
Horizontal Delay,0,,,
Sample Interval,2e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,10,1,10,1
Vertical Units,V,V,V,V
Vertical Offset,0,-30.8,0,0
Vertical Scale,1,10,1,1
Vertical Position,0,0,0.02,-0.1
,,,,
,,,,
,,,,
Label,,,,M
TIME,CH1,CH2,CH3,CH4
-9.314000e-03,0.676719,17.6969,1.40094,4.10781
-9.312000e-03,0.676094,17.7688,1.40172,4.11031
-9.310000e-03,0.681094,17.7563,1.40391,4.10359
-9.308000e-03,0.675625,17.7953,1.40109,4.09641
-9.306000e-03,0.673125,17.7484,1.39156,4.1
-9.304000e-03,0.67625,17.7844,1.40063,4.11469
-9.302000e-03,0.6825,17.6859,1.39062,4.10531
-9.300000e-03,0.675469,17.8188,1.39906,4.10453
-9.298000e-03,0.672969,17.7453,1.39641,4.10906
-9.296000e-03,0.678438,17.7391,1.40266,4.10156
-9.294000e-03,0.679219,17.7875,1.39516,4.11187
-9.292000e-03,0.680312,17.7594,1.39437,4.10797
-9.290000e-03,0.671719,17.7375,1.38734,4.11328
-9.288000e-03,0.673438,17.7688,1.39984,4.11031
-9.286000e-03,0.6775,17.7109,1.39578,4.10609
-9.284000e-03,0.672656,17.7422,1.40312,4.11016
-9.282000e-03,0.670156,17.8281,1.40516,4.10484
-9.280000e-03,0.67125,17.775,1.39281,4.10844
-9.278000e-03,0.670469,17.75,1.39953,4.10859
-9.276000e-03,0.681094,17.6875,1.39891,4.10797
-9.274000e-03,0.66625,17.7375,1.40047,4.11203
-9.272000e-03,0.677813,17.8063,1.40328,4.09594
-9.270000e-03,0.666719,17.8047,1.39437,4.11125
-9.268000e-03,0.662969,17.8109,1.39,4.11141
-9.266000e-03,0.668906,17.7031,1.40219,4.09844
-9.264000e-03,0.66625,17.7406,1.39297,4.10438
-9.262000e-03,0.666875,17.7703,1.40172,4.10406
-9.260000e-03,0.665625,17.7047,1.40328,4.11109
-9.258000e-03,0.669375,17.825,1.38953,4.11141
-9.256000e-03,0.663281,17.6438,1.39328,4.10656
-9.254000e-03,0.664219,17.75,1.39578,4.10531
-9.252000e-03,0.669063,17.8,1.40797,4.11516
-9.250000e-03,0.661406,17.7891,1.39672,4.10062
-9.248000e-03,0.655938,17.7531,1.40109,4.10687
-9.246000e-03,0.659844,17.8422,1.40328,4.10922
-9.244000e-03,0.66875,17.7453,1.40172,4.10297
-9.242000e-03,0.660625,17.6578,1.39563,4.11406
-9.240000e-03,0.660938,17.7516,1.40047,4.10609
-9.238000e-03,0.66125,17.7219,1.39625,4.10109
-9.236000e-03,0.660781,17.7266,1.39766,4.11375
-9.234000e-03,0.665937,17.7391,1.39328,4.11078
-9.232000e-03,0.660625,17.7438,1.39516,4.09938
-9.230000e-03,0.663438,17.7234,1.39125,4.10656
-9.228000e-03,0.658125,17.8594,1.40078,4.10141
-9.226000e-03,0.661094,17.7625,1.40063,4.11062
-9.224000e-03,0.65375,17.7188,1.40422,4.10938
-9.222000e-03,0.665312,17.7516,1.40156,4.10719
-9.220000e-03,0.658594,17.8422,1.39844,4.10438
-9.218000e-03,0.649844,17.7078,1.39062,4.10687
-9.216000e-03,0.653594,17.6734,1.40219,4.105
-9.214000e-03,0.660469,17.7734,1.39766,4.10562
-9.212000e-03,0.655938,17.7625,1.40234,4.10656
-9.210000e-03,0.658906,17.7937,1.39406,4.10812
-9.208000e-03,0.659062,17.8016,1.40094,4.10109
