Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.0002,,
Horizontal Delay,0,,
Sample Interval,2e-07,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,10,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,1,1
Vertical Position,0,-0.02,0
,,,
,,,
,,,
Label,M2024,M2029,M2030
TIME,CH1,CH3,CH4
-9.208000e-04,-0.0190625,1.76687,3.24266
-9.206000e-04,-0.0189062,1.76406,3.23687
-9.204000e-04,-0.0192187,1.76359,3.23828
-9.202000e-04,-0.0198438,1.76156,3.23734
-9.200000e-04,-0.0203125,1.76297,3.23797
-9.198000e-04,-0.01875,1.76281,3.24063
-9.196000e-04,-0.0196875,1.76094,3.23594
-9.194000e-04,-0.0190625,1.76391,3.235
-9.192000e-04,-0.0176563,1.76609,3.23859
-9.190000e-04,-0.0203125,1.76063,3.23687
-9.188000e-04,-0.0192187,1.76281,3.2375
-9.186000e-04,-0.019375,1.76375,3.23547
-9.184000e-04,-0.019375,1.76063,3.23484
-9.182000e-04,-0.0198438,1.76219,3.23875
-9.180000e-04,-0.0173438,1.76578,3.24125
-9.178000e-04,-0.0192187,1.76141,3.23359
-9.176000e-04,-0.02,1.76266,3.235
-9.174000e-04,-0.019375,1.7625,3.23828
-9.172000e-04,-0.0192187,1.76359,3.23594
-9.170000e-04,-0.0196875,1.76391,3.23719
-9.168000e-04,-0.0182812,1.76234,3.23672
-9.166000e-04,-0.0175,1.765,3.23891
-9.164000e-04,-0.0201563,1.76313,3.23484
-9.162000e-04,-0.0178125,1.76547,3.24047
-9.160000e-04,-0.0204688,1.76016,3.23844
-9.158000e-04,-0.0182812,1.765,3.23687
-9.156000e-04,-0.02,1.76281,3.23875
-9.154000e-04,-0.019375,1.76297,3.23516
-9.152000e-04,-0.020625,1.76156,3.23922
-9.150000e-04,-0.0198438,1.76375,3.235
-9.148000e-04,-0.0201563,1.76109,3.23016
-9.146000e-04,-0.02,1.76297,3.23609
-9.144000e-04,-0.0190625,1.76687,3.24313
-9.142000e-04,-0.01875,1.76203,3.2375
-9.140000e-04,-0.0195312,1.76266,3.23656
-9.138000e-04,-0.0198438,1.76219,3.23734
-9.136000e-04,-0.0201563,1.76094,3.23703
-9.134000e-04,-0.0190625,1.76313,3.24063
-9.132000e-04,-0.0198438,1.76031,3.23516
-9.130000e-04,-0.01875,1.76391,3.23578
-9.128000e-04,-0.0175,1.76406,3.24
-9.126000e-04,-0.0201563,1.76156,3.23578
-9.124000e-04,-0.019375,1.76313,3.23937
-9.122000e-04,-0.019375,1.76359,3.23438
-9.120000e-04,-0.02,1.76094,3.23687
-9.118000e-04,-0.0198438,1.76125,3.23656
-9.116000e-04,-0.0179688,1.76406,3.23984
-9.114000e-04,-0.0189062,1.76234,3.23172
-9.112000e-04,-0.02,1.76281,3.23438
-9.110000e-04,-0.019375,1.76484,3.23375
-9.108000e-04,-0.0190625,1.76375,3.23578
-9.106000e-04,-0.0203125,1.76328,3.23859
-9.104000e-04,-0.0184375,1.7625,3.23672
-9.102000e-04,-0.0179688,1.76516,3.23672
-9.100000e-04,-0.0196875,1.76141,3.23531
-9.098000e-04,-0.0182812,1.76641,3.24047
-9.096000e-04,-0.0203125,1.76141,3.23828
-9.094000e-04,-0.018125,1.76469,3.23891
-9.092000e-04,-0.02,1.76375,3.23609
-9.090000e-04,-0.0195312,1.76359,3.23672
-9.088000e-04,-0.0204688,1.76234,3.23828
-9.086000e-04,-0.02,1.76438,3.23656
-9.084000e-04,-0.02,1.76078,3.23266
-9.082000e-04,-0.0195312,1.76375,3.23719
-9.080000e-04,-0.0189062,1.76734,3.24234
-9.078000e-04,-0.0182812,1.7625,3.23906
-9.076000e-04,-0.0182812,1.76391,3.23672
-9.074000e-04,-0.019375,1.76297,3.23578
-9.072000e-04,-0.0203125,1.76094,3.23719
-9.070000e-04,-0.0184375,1.76438,3.23859
-9.068000e-04,-0.0198438,1.76094,3.23609
